內湖捷運公寓三房,"22,000",30.33
石牌兩房精美公寓,"22,500",21.73
嘉禾邊間方正兩房,"10,000",15.03
萬大黃金透天,"90,000",59.8
政大旁美妝套房,"20,000",13.83
重慶南路優質辦公,"160,000",104.74
泳池電梯三房車位,"52,000",41.03
政大平面美妝公寓,"35,000",30.31
大安V精美兩房,"40,000",22.65
環球辦公捷運商辦,"160,000",92.04
內科捷運湖水裔,"33,000",17.45
園中園誠意出租,"45,000",37.3
長春路透天店面,"150,000",96.62
民生重劃地下店辦,"75,000",70.77
雙連捷運美妝,"26,000",11.8
光南氣派辦公,"330,000",217.87
綠油油華華濃,"50,000",46.86
名人巷公寓二樓,"38,000",30.86
夢想質感店面,"50,000",28.32
大湖高效益店面,"85,000",42.63
微風商圈三房車位,"70,000",47.17
國館林蔭六樓,"40,000",34.71
忠孝復興高樓辦公,"80,000",40.95
協大管理辦公,"30,000",14.05
饒河夜市面寬金店,"135,000",33.37
忠孝敦化高樓純辦,"60,000",30.02
東區大空間金店,"300,000",54.85
稀有大坪數辦公,"55,000",30.76
政大美妝電梯兩房,"35,000",47.43
古亭捷運一樓,"20,000",14.29
大直北安公寓二樓,"32,000",27.49
河景電梯管理３房,"35,000",27.4
文昌國小車庫一樓,"50,000",36.5
大安捷運管理四房,"60,000",52.21
士林夜市大東金店,"200,000",72.4
專租文市面寬店面,"60,000",24.29
近臨江街電梯華廈,"28,000",28.6
仁愛圓環電梯大樓,"25,000",16.01
師大靜巷青田福邸,"17,000",10.38
赤峰3樓美寓,"29,000",19.84
新裝潢公寓三樓,"21,000",29.02
萬大路角窗店面,"82,000",68.76
大馬路上純1樓店,"60,000",26.71
可購屋505萬,"8,000",7.27
忠孝新生林蔭三房,"50,000",38.71
萬年人潮金店面,"40,000",7.61
延吉中庭三房,"38,000",37
經典紐約上城,"19,888",14.41
台銀華廈電梯四房,"45,000",46.37
內江採光優質套房,"20,000",13.7
科技捷運電梯辦公,"60,000",49.27
10條通42號,"58,000",25.09
士林好好租雅房,"11,000",37.41
文化杏林美寓,"25,000",30.2
美國學校四房車位,"120,000",73.25
西湖捷運店面,"55,000",37.17
木新市場旁金店面,"50,000",17.96
東方林園樓中樓,"52,000",60.86
南京東路角窗金店,"120,000",15.37
近捷運黃金店辦,"180,000",63.19
人潮必經邊間金店,"70,000",36.32
白金漢裝潢辦公,"49,000",45.49
雙捷運便利套房,"16,000",14.34
堤頂交流道商辦,"70,000",79.5
水仙大廈面公園,"30,000",9.07
巨蛋高樓景觀住辦,"43,000",37.28
牯嶺金三角窗店面,"80,000",28.52
天西精華面寬店面,"100,000",33.25
公園優質管理美廈,"70,000",61.03
芝山捷運方便一樓,"38,000",19.4
美日僑電梯四房車,"138,000",68.63
幸安精美分租套房,"13,800",8.8
美學地圖坡平車位,"6,000",12.94
台大公館角窗金店,"150,000",42.35
環宇通商頂級商辦,"218,000",112.97
士東市場面寬店面,"68,000",45.87
北車問鼎匯兩房,"35,000",30.15
潭美街露台廠辦,"65,000",101.08
大直捷運精妝三房,"48,000",48.28
租面寬三角窗金店,"498,000",192.57
信義安和面寬店面,"160,000",43.46
國美時代廣場,"430,000",417.38
忠孝敦化超值四房,"470,000,000",46.84
近饒河黃金店面,"680,000,000",28.89
僑福名宅三角金店,"400,000",157.88
近捷運景觀有管理,"42,000",31.38
桂林昆明街口車位,"2,900",5
水美館挑高出租,"50,000",23.4
近捷運一樓店辦,"38,500",17.97
冠德信義豪邸,"500,000",152.11
東門稀有兩房,"26,000",20.02
南軟電梯兩房車位,"36,000",29.75
敦南鳳凰美套房,"14,000",6.25
欣欣百貨商圈店面,"250,000",35.61
威尼斯美妝三房,"54,000",32.6
威尼斯美妝兩房,"32,000",15.09
大直美麗華廈,"26,000",15.68
門庭如市敦南金店,"70,000",33.48
正面吉林路辦公,"26,000",22.6
光復紀念館挑高店,"60,000",24.01
華固高樓溫馨四房,"80,000",79.37
師大雲和三房公寓,"35,000",18.91
空間優質電梯3房,"48,000",44.26
忠孝復興三房美寓,"48,000",33.72
木新河堤大空間,"75,000",87.4
美麗華優質一房,"31,000",26.87
政大景觀美妝套房,"18,800",9.17
庭院一樓夢幻小套,"16,500",5
中山捷運M1美學,"25,000",12.28
景美捷運大三房,"26,000",35.52
近內科樓中樓,"31,000",38.57
小凱悅邊間小豪宅,"28,800",14.36
內科電梯3房車位,"41,000",44.66
古高高樓稀有辦公,"38,000",36.44
士林奢華景觀四房,"58,000",53.79
大直永安美屋,"50,000",50.19
國際時尚景觀辦公,"220,429",174.67
芝山百貨管理名宅,"36,000",20.46
可直接入住免整理,"138,000",79.46
逸仙國館四房美廈,"68,000",46.78
市府一樓可住可辦,"70,000",36.87
永康東門捷運金店,"200,000",44.5
運動公園景觀電梯,"55,000",53.38
出租磺溪1F美廈,"68,000",35.26
西湖寧境美裝潢,"49,800",47.9
遠雄靜巷三房附車,"75,000",76.97
公館路邊面寬金店,"90,000",18.69
西湖便利三樓,"25,000",24.13
帝景露臺101,"100,000",82.29
捷運古亭飯店管理,"50,000",21.4
稀有格局美三房,"36,000",35.31
中正電梯大空間,"22,000",21.61
明湖學區黃金店面,"65,000",45.64
長虹瑞光科技大樓,"147,000",112.34
小阿曼挑高精美套,"24,000",9.01
鑽石雙星高樓名宅,"100,000",91.95
東門永康收租首選,"250,000",28.48
龍江靜巷近捷運,"33,000",27.26
南機場優質2房,"13,000",10.62
文心大紐約高樓,"75,000",57.8
復北雷諾綠蔭四房,"60,000",58.64
東區面寬漂亮金店,"100,000",48.09
仁愛安和綠蔭四房,"77,000",51.03
羅斯福人潮金店面,"80,000",41.46
JR中山綻15樓,"67,000",30.79
天母國小美妝2樓,"42,000",29.71
萬隆捷運住辦華夏,"58,000",73.23
師大附中四房二樓,"46,000",29.93
小巨蛋捷運新居,"35,000",17.37
捷運公園電梯三房,"35,000",35.5
汀州路房車車位2,"5,000",7.44
稀有三角窗店面,"60,000",23.76
承德明亮辦公首選,"22,000",23.31
兩室兩衛加車出租,"40,000",26.94
麗多宮稀有一樓,"75,000",66.6
菁選車位快來租,"4,500",5.76
玉成公園高樓美屋,"16,800",14.73
中山捷運金店面,"156,000",66.72
機能電梯四房,"50,000",51.61
邊間大空間美寓,"22,000",25.98
金矽谷財貿廣場,"260,000",139.58
松山雙鐵人潮店辦,"20,000",17.9
仁愛新第溫馨套房,"22,000",12.53
吳興街金店,"43,000",14.67
北車麥當勞旁店面,"180,000",92.23
正面中山國小校園,"28,000",12.89
森林公園電梯辦公,"220,000",55.38
政大春耕大四房,"50,000",68.93
未來捷運三角窗,"55,000",21.55
近捷運機能棒,"64,000",33.21
景觀優美宅,"38,000",34.71
環狀線裝潢兩房,"30,000",20.82
萬年角窗優質店面,"50,000",7.99
松山車站辦公室,"80,000",45.52
優美電梯三房車位,"45,000",45.23
百坪堤頂科技廠商,"112,000",140.07
世貿▲三角窗店面,"600,000",166.11
綠野仙跡租客首選,"13,000",9.24
士林捷運透天店面,"250,000",26.81
新碩黃金店面,"55,000",24.77
紐約高精緻裝潢,"26,000",13.52
兩戶打通三角店面,"110,000",57.81
國民優質方正辦公,"100,000",50.39
千荷田平面車位,"5,000",10.87
一望無際電梯三房,"46,500",47.49
四方荷運出租,"60,000",--
永康東門店面小品,"180,000",14.08
後火車站三角透天,"220,000",109.45
面校園精裝三房,"56,800",37.98
金華多元辦公,"15,000",13.1
忠孝復興挑高店面,"100,000",--
仁愛路林蔭辦公,"100,000",60.85
東湖富貴金店面,"60,000",22.69
奇岩捷運雲端,"36,000",43.54
同安街邊間三房,"35,000",33.44
敦化南路辦公,"66,000",39.25
捷運公園旁金店,"35,000",24.11
真的漂亮阿曼凱艷,"45,000",46.51
移動光城遠景兩房,"45,000",25.71
政大翡翠四房車位,"46,000",58.52
